Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Joe Rodon,wls WAL,DF,26.0,46,46,4135.0,45.9,1.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,1.2,1.2,1.1,2.4,56.0,291.0,5.0,0.02,0.0,0.02,0.02,0.02,0.03,0.02,0.05,0.03,0.05,Matches
Jayden Bogle,eng ENG,DF,24.0,44,44,3824.0,42.5,6.0,4.0,10.0,6.0,0.0,0.0,12.0,0.0,5.3,5.3,6.9,12.3,123.0,193.0,264.0,0.14,0.09,0.24,0.14,0.24,0.13,0.16,0.29,0.13,0.29,Matches
Brenden Aaronson,us USA,MF,23.0,46,43,3551.0,39.5,9.0,2.0,11.0,9.0,0.0,0.0,1.0,0.0,11.3,11.3,5.7,17.0,84.0,160.0,243.0,0.23,0.05,0.28,0.23,0.28,0.29,0.14,0.43,0.29,0.43,Matches
Illan Meslier,fr FRA,GK,24.0,39,39,3510.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ao Tanaka,jp JPN,MF,25.0,43,37,3314.0,36.8,5.0,2.0,7.0,5.0,0.0,0.0,8.0,0.0,3.6,3.6,2.6,6.2,38.0,259.0,43.0,0.14,0.05,0.19,0.14,0.19,0.1,0.07,0.17,0.1,0.17,Matches
Joël Piroe,nl NED,FW,24.0,46,36,3080.0,34.2,19.0,7.0,26.0,18.0,1.0,1.0,2.0,0.0,16.9,16.2,4.5,20.6,30.0,89.0,166.0,0.56,0.2,0.76,0.53,0.73,0.49,0.13,0.63,0.47,0.6,Matches
Pascal Struijk,nl NED,DF,24.0,35,31,2824.0,31.4,5.0,0.0,5.0,3.0,2.0,3.0,3.0,0.0,5.9,3.5,0.5,4.0,37.0,193.0,11.0,0.16,0.0,0.16,0.1,0.1,0.19,0.02,0.2,0.11,0.13,Matches
Junior Firpo,do DOM,DF,27.0,32,30,2616.0,29.1,4.0,10.0,14.0,4.0,0.0,0.0,7.0,0.0,4.1,4.1,6.6,10.8,66.0,158.0,236.0,0.14,0.34,0.48,0.14,0.48,0.14,0.23,0.37,0.14,0.37,Matches
Daniel James,wls WAL,FW,26.0,36,30,2609.0,29.0,12.0,9.0,21.0,12.0,0.0,0.0,4.0,0.0,10.3,10.3,8.7,19.0,117.0,100.0,301.0,0.41,0.31,0.72,0.41,0.72,0.36,0.3,0.66,0.36,0.66,Matches
Manor Solomon,il ISR,FW,25.0,39,30,2589.0,28.8,10.0,12.0,22.0,10.0,0.0,0.0,3.0,0.0,8.1,8.1,12.0,20.1,144.0,111.0,320.0,0.35,0.42,0.76,0.35,0.76,0.28,0.42,0.7,0.28,0.7,Matches
Ethan Ampadu,wls WAL,"DF,MF",23.0,29,26,2285.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.6,0.6,1.5,2.0,26.0,106.0,9.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches
Wilfried Gnonto,it ITA,FW,20.0,43,26,2276.0,25.3,9.0,6.0,15.0,9.0,0.0,0.0,5.0,0.0,8.3,8.3,5.7,13.9,83.0,124.0,240.0,0.36,0.24,0.59,0.36,0.59,0.33,0.22,0.55,0.33,0.55,Matches
Joe Rothwell,eng ENG,MF,29.0,36,24,2249.0,25.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,0.6,0.6,4.6,5.3,41.0,166.0,30.0,0.0,0.16,0.16,0.0,0.16,0.03,0.18,0.21,0.03,0.21,Matches
Ilia Gruev,bg BUL,MF,24.0,23,20,1699.0,18.9,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.3,1.3,2.4,3.8,17.0,102.0,22.0,0.0,0.11,0.11,0.0,0.11,0.07,0.13,0.2,0.07,0.2,Matches
Sam Byram,eng ENG,DF,30.0,36,16,1409.0,15.7,1.0,1.0,2.0,1.0,0.0,0.0,4.0,0.0,0.8,0.8,1.0,1.9,25.0,75.0,100.0,0.06,0.06,0.13,0.06,0.13,0.05,0.07,0.12,0.05,0.12,Matches
Mateo Joseph,es ESP,FW,20.0,39,11,1285.0,14.3,3.0,3.0,6.0,3.0,0.0,0.0,0.0,0.0,5.1,5.1,1.9,7.0,20.0,24.0,66.0,0.21,0.21,0.42,0.21,0.42,0.36,0.13,0.49,0.36,0.49,Matches
Largie Ramazani,be BEL,FW,23.0,29,7,797.0,8.9,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,4.7,4.7,1.4,6.1,41.0,38.0,81.0,0.68,0.23,0.9,0.68,0.9,0.53,0.16,0.69,0.53,0.69,Matches
Karl Darlow,wls WAL,GK,33.0,7,7,630.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Maximilian Wöber,at AUT,DF,26.0,8,2,335.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.7,0.7,0.3,1.0,6.0,17.0,34.0,0.27,0.0,0.27,0.27,0.27,0.18,0.09,0.27,0.18,0.27,Matches
Georginio Rutter,fr FRA,"MF,FW",22.0,1,1,90.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.3,0.4,6.0,6.0,5.0,0.0,1.0,1.0,0.0,1.0,0.14,0.28,0.42,0.14,0.42,Matches
Patrick Bamford,eng ENG,FW,30.0,17,0,252.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,2.2,0.2,2.3,3.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.79,0.06,0.84,0.79,0.84,Matches
Isaac Schmidt,ch SUI,"FW,DF",24.0,12,0,78.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.3,0.5,4.0,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.2,0.37,0.58,0.2,0.58,Matches
Josuha Guilavogui,fr FRA,"MF,DF",33.0,16,0,65.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.2,0.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.12,0.1,0.21,0.12,0.21,Matches
Samuel Chambers,eng ENG,FW,16.0,1,0,17.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joe Gelhardt,eng ENG,"FW,MF",22.0,2,0,10.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Charlie Crew,wls WAL,MF,18.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.49,0.49,0.49,Matches
Harry Gray,eng ENG,MF,15.0,1,0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
James Debayo,eng ENG,DF,19.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Alex Cairns,eng ENG,GK,31.0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches
Opponent Total,,,26.0,46,506,4140.0,46.0,26.0,14.0,40.0,23.0,3.0,4.0,85.0,3.0,29.6,26.5,19.9,46.4,479.0,1083.0,1069.0,0.57,0.3,0.87,0.5,0.8,0.64,0.43,1.08,0.58,1.01,
Michael Cooper,eng ENG,GK,24.0,43,43,3870.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Harrison Burrows,eng ENG,DF,22.0,43,39,3460.0,38.4,5.0,3.0,8.0,3.0,2.0,2.0,2.0,0.0,3.9,2.3,5.8,8.0,65.0,105.0,197.0,0.13,0.08,0.21,0.08,0.16,0.1,0.15,0.25,0.06,0.21,Matches
Callum O'Hare,eng ENG,"MF,FW",26.0,44,38,3139.0,34.9,2.0,6.0,8.0,2.0,0.0,0.0,2.0,0.0,4.7,4.7,5.4,10.1,55.0,127.0,233.0,0.06,0.17,0.23,0.06,0.23,0.13,0.15,0.29,0.13,0.29,Matches
Gustavo Hamer,nl NED,"FW,MF",27.0,41,36,3124.0,34.7,9.0,7.0,16.0,9.0,0.0,0.0,13.0,0.0,5.8,5.8,9.0,14.8,56.0,223.0,166.0,0.26,0.2,0.46,0.26,0.46,0.17,0.26,0.43,0.17,0.43,Matches
Anel Ahmedhodžić,ba BIH,DF,25.0,38,35,3136.0,34.8,3.0,1.0,4.0,3.0,0.0,0.0,11.0,1.0,2.3,2.3,1.3,3.6,39.0,88.0,8.0,0.09,0.03,0.11,0.09,0.11,0.07,0.04,0.1,0.07,0.1,Matches
Sydie Peck,eng ENG,MF,19.0,42,32,2927.0,32.5,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,2.1,2.1,2.7,4.7,33.0,187.0,60.0,0.0,0.06,0.06,0.0,0.06,0.06,0.08,0.15,0.06,0.15,Matches
Vinicius Souza,br BRA,MF,25.0,35,32,2787.0,31.0,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.7,0.7,1.4,2.0,21.0,133.0,30.0,0.0,0.03,0.03,0.0,0.03,0.02,0.04,0.07,0.02,0.07,Matches
Jack Robinson,eng ENG,DF,30.0,34,31,2841.0,31.6,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.9,0.9,0.5,1.4,14.0,88.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.05,0.03,0.05,Matches
Alfie Gilchrist,eng ENG,DF,20.0,30,27,2103.0,23.4,0.0,2.0,2.0,0.0,0.0,0.0,5.0,0.0,0.4,0.4,1.4,1.7,32.0,120.0,57.0,0.0,0.09,0.09,0.0,0.09,0.02,0.06,0.07,0.02,0.07,Matches
Jesurun Rak Sakyi,eng ENG,"FW,MF",21.0,34,22,1725.0,19.2,7.0,2.0,9.0,7.0,0.0,0.0,1.0,0.0,6.1,6.1,2.7,8.8,73.0,40.0,155.0,0.37,0.1,0.47,0.37,0.47,0.32,0.14,0.46,0.32,0.46,Matches
Harry Souttar,au AUS,DF,25.0,21,20,1768.0,19.6,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.8,0.8,0.0,0.8,5.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.04,0.04,0.04,Matches
Tyrese Campbell,eng ENG,FW,24.0,33,20,1580.0,17.6,10.0,1.0,11.0,10.0,0.0,0.0,2.0,0.0,8.2,8.2,2.7,10.8,34.0,24.0,113.0,0.57,0.06,0.63,0.57,0.63,0.47,0.15,0.62,0.47,0.62,Matches
Kieffer Moore,wls WAL,FW,31.0,27,18,1767.0,19.6,5.0,0.0,5.0,4.0,1.0,3.0,1.0,0.0,9.2,6.8,1.4,8.2,19.0,27.0,78.0,0.25,0.0,0.25,0.2,0.2,0.47,0.07,0.54,0.35,0.42,Matches
Rhian Brewster,eng ENG,"MF,FW",24.0,36,16,1558.0,17.3,4.0,3.0,7.0,4.0,0.0,0.0,2.0,0.0,4.3,4.3,3.0,7.3,19.0,59.0,72.0,0.23,0.17,0.4,0.23,0.4,0.25,0.17,0.42,0.25,0.42,Matches
Hamza Choudhury,bd BAN,"MF,DF",26.0,16,13,1105.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.0,0.3,3.0,43.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
